"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006536,,532,,3,3,4,9,9,0,3,2,0,2,0,6,0,4,2,1,0,1,2,2,5,11,8,24,24,28,21,18,10,17,23,19,18,19,19,12,12,1,4,8,1,6,7,5,7,8,7,6,5,7,4,7,8,9,5,1,6,2,8,4,3,3,1,2,4,1,4,7,6,3,0,4,0,2,0,0,4,2,1,1,1,0,1,5,0,1,1,0,0,0,8
S01006537,,490,,4,3,2,2,4,8,4,1,2,5,4,2,4,2,5,8,5,3,0,6,1,2,4,3,3,3,3,5,3,2,7,2,5,2,2,4,15,5,4,3,3,3,6,11,7,6,8,3,0,3,11,7,10,7,4,10,6,4,8,9,4,5,5,7,6,3,7,8,9,10,4,4,11,7,4,8,6,8,9,8,5,4,6,13,4,5,3,4,4,3,28
S01006538,,302,,1,3,5,3,4,3,1,1,2,3,3,2,3,3,6,2,2,3,1,1,1,0,5,8,2,5,0,6,1,2,1,3,2,1,5,4,2,10,4,2,2,6,4,7,3,4,1,4,5,5,6,9,4,3,5,6,3,5,2,1,7,5,8,3,4,3,4,3,4,6,3,5,2,1,1,3,2,7,3,3,4,2,2,5,3,2,1,2,0,0,3
S01006539,,420,,4,3,6,5,3,6,3,7,3,7,6,2,3,4,2,5,7,1,1,3,5,2,3,2,4,1,1,4,1,8,3,5,4,3,7,6,6,5,7,6,6,5,5,6,6,11,4,4,6,7,5,4,5,4,6,8,6,8,5,7,3,2,5,4,3,4,8,7,10,0,5,4,5,7,5,3,7,3,1,0,2,4,4,4,1,3,6,3,3,3,19
S01006540,,483,,4,7,5,3,7,7,2,7,3,3,0,3,1,5,6,5,3,3,0,4,2,7,4,10,7,5,5,7,8,10,7,14,9,8,4,6,9,9,8,9,12,5,8,5,6,7,6,4,11,6,4,10,5,7,6,9,8,8,2,6,8,8,8,9,1,3,4,3,6,3,0,3,3,9,5,2,3,3,3,3,3,4,2,6,3,4,1,5,0,2,5
S01006541,,456,,4,5,3,6,9,9,4,7,3,4,2,2,1,2,2,2,5,0,5,2,0,3,6,4,5,3,5,1,2,4,8,7,5,10,10,3,2,6,5,6,3,4,9,3,8,6,3,1,6,8,4,11,3,4,5,8,8,4,3,7,3,5,6,5,5,2,7,4,5,2,6,3,6,6,5,5,3,4,8,10,6,3,6,3,4,3,8,6,8,9,20
S01006542,,595,,4,6,6,2,8,3,8,2,4,5,4,12,3,6,4,6,4,4,2,0,10,1,4,3,7,5,6,0,7,8,8,5,10,8,8,7,4,5,6,7,9,4,5,6,10,12,10,8,10,7,12,9,5,16,11,13,3,6,7,4,5,6,7,10,9,4,10,7,5,4,4,9,3,8,9,10,18,9,9,6,6,8,13,9,4,7,4,5,3,3,2
S01006543,,428,,7,2,3,8,2,2,4,5,4,6,4,4,3,2,0,3,5,5,3,5,5,2,2,1,2,6,7,4,3,3,3,2,5,8,1,2,9,3,5,7,2,7,4,6,3,9,3,3,11,9,4,12,3,7,3,8,8,10,3,3,4,5,2,8,2,7,6,4,5,10,5,4,6,6,1,2,9,2,4,8,2,8,5,4,7,8,6,7,3,1,2
S01006544,,597,,6,7,2,15,9,8,6,9,6,8,3,5,3,0,0,6,2,5,4,2,1,7,4,9,13,14,7,12,8,10,11,11,11,12,10,15,14,2,8,14,12,6,11,6,7,3,8,9,8,4,7,8,10,6,7,9,7,6,8,5,7,5,7,4,4,6,5,5,5,6,3,4,5,1,2,0,8,4,4,5,4,3,1,5,7,2,2,4,6,6,21
S01006545,,554,,8,10,2,12,3,4,9,2,1,8,4,1,4,0,4,4,8,0,2,3,5,4,2,10,10,9,5,10,5,11,12,8,3,11,10,11,12,5,2,13,0,2,5,8,2,2,6,7,3,6,8,5,8,5,9,7,12,9,4,11,7,9,4,6,7,4,8,7,8,8,3,1,6,3,7,5,3,7,14,9,9,6,4,5,5,5,3,5,1,5,14
S01006546,,328,,3,1,0,3,0,1,3,3,2,3,6,3,3,3,1,6,9,2,1,0,2,3,3,6,14,1,4,4,1,12,3,2,5,2,1,3,8,1,3,3,6,2,1,5,3,3,2,5,2,8,5,3,10,9,6,6,7,3,1,8,3,2,3,5,4,3,2,2,6,5,8,6,5,3,5,2,2,5,5,0,1,4,1,2,0,7,3,3,2,0,0
S01006547,,544,,7,9,6,4,11,4,7,4,7,5,11,4,1,5,7,2,4,2,3,4,3,1,1,8,8,10,4,3,9,9,9,2,15,6,9,3,6,11,4,4,5,10,6,8,10,7,9,9,5,6,7,5,4,11,9,4,6,7,7,10,9,7,3,7,2,7,8,7,8,3,4,7,4,6,3,8,2,5,6,5,0,6,5,9,5,5,4,4,3,6,9
S01006548,,363,,3,2,2,1,2,6,3,4,3,2,1,4,5,0,5,1,1,1,6,1,3,3,3,0,3,1,1,4,5,4,1,4,3,13,6,5,7,1,3,3,1,2,0,7,5,4,6,3,4,6,7,11,5,5,5,4,9,2,5,8,3,3,5,1,5,5,10,5,4,9,4,7,5,6,6,5,4,6,3,8,7,6,5,0,5,3,5,1,1,1,0
S01006549,,408,,6,3,4,5,1,2,7,5,5,3,5,6,3,4,8,9,4,5,1,2,3,3,2,0,5,1,5,5,2,1,8,7,0,4,7,6,2,5,4,2,6,4,8,7,4,3,9,4,11,6,8,7,9,9,2,8,5,6,6,7,1,9,9,3,3,6,5,8,6,5,4,5,3,8,4,2,4,1,5,5,1,2,1,5,1,5,2,1,1,0,4
S01006550,,495,,1,4,5,2,2,7,2,7,7,6,1,6,3,1,2,3,7,4,5,2,0,3,7,1,10,12,6,7,2,0,6,2,4,0,1,6,5,6,9,6,7,2,1,7,10,2,10,7,9,4,7,9,11,10,7,14,8,6,10,8,7,7,6,9,7,10,8,8,3,5,5,4,3,4,6,8,7,4,2,6,7,7,5,4,4,1,9,2,2,6,10
S01006551,,354,,0,3,7,6,7,4,2,2,2,0,0,3,8,1,5,1,3,1,4,7,4,3,6,7,6,1,3,5,5,3,5,5,6,3,6,8,2,1,4,1,4,1,9,3,6,4,3,5,3,1,6,11,9,9,3,4,5,3,8,7,3,3,0,0,4,1,5,4,0,4,4,4,3,6,5,7,3,5,5,7,5,6,4,2,4,4,0,0,1,1,0
