"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,,,,Females,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006543,,436,,2,2,7,3,2,4,5,4,7,4,4,4,2,0,3,6,5,4,5,5,2,3,2,2,5,8,2,2,4,5,4,5,8,1,2,10,3,6,5,2,9,5,7,3,9,3,3,11,9,5,12,4,7,3,8,8,10,3,3,4,5,2,8,2,8,6,4,5,9,5,4,6,6,1,2,9,2,4,8,3,8,5,4,7,8,7,7,3,1,1,1
S01006544,,583,,7,4,13,10,7,6,9,6,9,2,5,3,2,0,5,5,5,5,6,2,6,2,5,11,14,7,12,7,11,9,11,12,12,10,21,14,4,4,14,6,5,11,6,6,4,7,9,7,3,7,9,9,6,6,9,7,6,8,5,9,4,8,4,4,6,5,5,5,8,3,4,4,1,2,0,6,4,3,5,3,3,1,4,3,2,2,3,6,5,4,24
S01006545,,520,,11,1,9,3,4,7,3,1,7,4,0,4,0,3,4,6,0,1,2,5,2,4,9,8,7,3,9,5,10,11,6,4,5,11,10,11,5,2,12,0,3,5,7,0,3,6,6,3,6,7,5,7,5,10,7,13,8,4,11,8,11,4,8,5,5,7,7,8,7,3,1,6,4,6,5,3,7,12,7,9,6,3,7,5,4,3,5,6,6,5,12
S01006546,,334,,1,0,4,1,1,5,2,2,3,6,3,3,3,1,6,9,2,3,1,2,5,3,5,12,2,2,2,1,8,4,2,4,3,4,2,9,1,2,3,8,2,1,5,3,3,2,5,2,8,5,3,9,8,6,6,7,3,1,8,3,2,3,5,5,3,3,2,6,6,8,5,5,3,5,3,2,5,6,1,1,4,2,2,0,7,3,3,2,0,1,1
S01006547,,493,,6,5,4,7,4,4,4,4,3,9,3,1,1,5,3,2,4,5,4,2,2,0,10,7,12,3,5,8,5,9,0,12,4,6,2,5,9,4,3,4,8,7,9,7,4,8,8,6,5,7,5,5,10,8,3,6,7,8,10,9,6,3,5,2,7,7,8,9,3,4,7,4,6,3,8,3,5,7,5,0,7,5,10,9,5,3,4,2,6,2,8
S01006548,,363,,3,4,0,1,5,3,4,3,2,1,4,4,0,5,1,0,1,6,1,5,3,3,2,2,3,1,4,3,1,2,3,1,11,7,6,5,0,3,3,1,2,0,7,4,4,6,3,4,6,7,11,5,7,5,4,9,2,6,7,3,3,5,1,5,4,10,5,5,9,4,7,5,6,6,5,4,7,3,8,8,7,5,0,5,4,5,2,4,1,0,1
S01006549,,421,,3,4,7,2,3,6,5,4,4,4,6,2,4,9,9,4,5,3,2,3,3,2,2,5,1,6,4,2,0,5,6,1,4,5,5,5,4,4,2,5,4,7,7,3,6,10,5,11,6,10,8,9,10,5,6,4,6,6,8,1,8,9,3,3,6,5,8,6,5,5,5,3,8,4,2,3,2,6,6,1,2,2,7,1,5,3,1,2,0,3,5
S01006550,,485,,4,3,2,2,7,2,4,8,6,2,6,4,1,2,3,6,3,4,3,0,3,8,1,10,11,5,6,1,0,4,2,4,0,3,6,6,5,7,6,6,2,2,6,9,3,10,6,8,4,7,9,12,9,5,15,9,5,9,8,6,7,6,8,7,10,8,9,3,4,6,4,3,4,5,8,7,3,3,7,7,6,4,5,5,2,10,3,4,6,3,8
S01006551,,352,,3,7,6,8,4,2,3,2,0,0,5,6,1,5,1,3,1,4,7,3,2,5,6,4,1,3,3,8,4,4,4,5,4,6,6,2,1,4,0,3,2,9,5,6,3,2,4,4,1,6,11,8,9,3,4,5,3,8,7,3,3,0,0,4,2,5,4,0,5,4,4,3,6,5,7,4,5,6,7,5,6,4,2,4,5,0,0,1,2,0,0
S01006552,,441,,2,3,3,2,2,4,6,2,4,5,2,2,5,1,5,2,6,6,0,4,5,3,5,8,7,3,7,7,6,11,0,4,0,12,4,8,6,3,10,3,4,10,8,5,2,6,5,7,6,8,5,6,8,10,11,4,10,9,5,6,8,6,9,5,2,7,4,9,4,8,5,3,6,6,3,4,8,1,5,2,2,1,4,3,3,1,1,0,4,0,4
