"Table 1b: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Areas,All Ages,,,,,MALES,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,,,,MALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006538,Aberdeen City,275,,5,3,2,6,3,3,6,5,2,2,4,1,3,3,1,3,2,1,1,2,0,0,2,5,4,8,4,1,7,2,3,2,0,0,1,3,1,2,7,2,9,4,4,3,6,4,2,3,3,2,6,2,6,8,3,4,4,4,7,3,9,1,7,0,0,2,3,2,4,6,5,2,4,1,4,0,1,3,0,2,2,1,7,4,0,3,1,0,1,1,0
S01006539,Aberdeen City,350,,3,3,7,1,3,5,4,2,2,3,2,1,2,2,3,3,4,5,3,1,3,3,4,1,1,6,5,2,6,2,5,7,5,4,13,5,5,7,1,3,1,7,6,4,8,4,4,3,2,8,1,1,7,3,4,7,1,10,6,10,6,5,6,4,4,5,1,3,9,3,4,4,4,1,2,2,2,5,1,1,3,6,6,5,2,1,2,0,2,1,6
S01006540,Aberdeen City,472,,6,4,5,6,5,6,8,4,2,8,6,4,2,2,2,0,4,4,3,3,1,2,6,7,7,7,8,11,14,13,13,9,12,7,6,7,2,9,9,9,14,4,8,10,3,15,7,4,4,6,0,4,11,6,3,6,6,9,6,7,5,0,3,10,7,6,4,2,6,6,4,2,2,3,1,2,1,3,3,4,1,2,1,0,3,2,4,2,1,1,5
S01006541,Aberdeen City,394,,6,9,4,7,4,7,7,4,4,4,6,4,1,3,5,4,4,1,3,2,0,1,0,1,1,3,2,5,7,4,3,2,7,0,11,8,4,7,1,7,13,11,3,9,10,5,2,5,3,3,8,8,3,5,5,1,5,5,3,2,5,2,9,7,1,6,4,5,6,5,3,2,2,2,2,3,8,1,2,1,5,2,3,4,5,2,3,3,2,1,16
S01006542,Aberdeen City,515,,9,5,5,7,10,4,4,6,2,0,0,3,4,1,8,6,7,1,2,7,1,5,2,2,10,4,6,7,5,7,5,8,8,9,2,7,12,4,2,7,5,6,9,12,7,2,8,7,13,8,6,12,4,8,3,12,7,5,10,9,3,13,7,1,8,9,8,3,12,4,9,8,1,3,3,4,4,3,1,11,4,4,4,10,4,3,5,3,3,2,1
S01006543,Aberdeen City,351,,2,3,3,2,5,4,10,6,2,3,3,6,3,2,1,1,3,2,1,1,3,4,0,1,4,9,7,2,2,2,3,1,7,2,6,3,6,4,2,2,6,3,1,3,6,12,5,1,7,5,4,7,5,4,3,10,7,8,4,5,8,3,4,1,6,5,4,5,4,2,4,5,4,3,7,5,3,1,1,6,0,6,2,6,1,3,2,3,2,1,5
S01006544,Aberdeen City,621,,9,6,6,5,6,6,6,6,5,3,5,7,4,7,5,3,0,3,4,3,0,3,2,8,6,10,8,10,18,11,8,10,4,20,7,15,9,20,12,13,17,12,10,13,7,12,6,17,8,7,4,7,12,14,12,6,15,11,11,11,10,7,2,4,4,8,7,12,7,3,2,1,4,4,7,0,2,4,1,5,0,7,1,1,0,1,0,3,1,2,6
S01006545,Aberdeen City,539,,9,8,7,5,6,0,7,6,2,1,0,5,6,3,3,5,3,2,8,4,1,6,4,2,8,12,9,10,16,9,6,5,17,7,4,4,14,8,6,7,7,16,6,2,3,6,9,2,18,9,7,9,4,10,9,12,10,5,7,9,8,8,5,5,6,4,6,10,9,5,8,8,4,3,3,0,6,4,4,4,4,4,3,1,2,3,1,1,1,0,4
S01006546,Aberdeen City,308,,6,4,5,5,0,5,4,0,3,3,0,2,0,5,4,0,4,4,3,1,2,2,6,5,4,5,6,4,4,8,5,5,2,1,7,4,4,5,4,1,5,2,2,4,1,4,2,3,9,4,7,6,5,2,7,3,10,8,4,3,4,3,2,0,8,7,4,2,7,4,1,0,4,8,6,1,2,1,2,2,2,2,0,2,0,0,1,0,0,0,0
S01006547,Aberdeen City,547,,5,10,15,14,8,7,6,10,3,4,6,6,8,7,6,4,6,8,9,5,6,3,3,3,7,11,9,6,4,12,8,13,6,12,1,4,12,10,6,7,10,4,5,12,8,8,5,5,13,9,8,8,10,6,7,2,3,10,6,7,5,4,7,3,4,3,7,13,5,2,9,4,3,5,2,2,2,2,2,5,0,0,2,5,2,4,2,2,0,5,0
