"Table 1c: Estimated population by sex, single year of age, 2011 Data Zone area, and council area: 30 June 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Council Area,All Ages,,,,,FEMALES,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,,,,FEMALES,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006541,Aberdeen City,467,,4,4,5,3,6,9,9,5,7,3,4,2,2,2,2,3,2,6,0,4,2,0,5,4,3,5,3,6,0,3,5,8,7,6,12,10,5,2,6,6,6,5,3,9,3,8,5,3,2,6,9,4,12,3,5,5,8,8,4,3,8,2,5,6,5,5,2,7,4,5,2,7,3,6,6,5,5,3,4,7,10,4,3,6,2,4,3,8,5,8,26
S01006542,Aberdeen City,606,,7,3,9,6,2,8,3,8,2,3,6,4,12,3,5,4,7,4,4,0,0,7,1,4,5,7,2,6,1,12,8,10,6,11,8,11,9,5,4,7,9,10,4,6,7,10,13,13,9,7,7,12,11,4,16,9,13,3,6,8,3,5,4,7,10,7,4,9,7,5,4,4,9,3,8,9,11,18,11,9,6,5,7,12,8,3,5,3,5,2,2
S01006543,Aberdeen City,426,,5,8,1,2,7,3,1,4,6,4,6,4,4,5,2,0,2,5,5,2,5,5,3,4,2,3,7,6,4,5,6,3,1,3,9,1,2,8,2,4,7,1,7,5,6,4,9,3,3,11,9,3,11,4,6,3,8,8,10,3,3,4,5,2,8,2,7,5,4,5,9,5,4,6,6,0,2,9,2,4,7,2,8,5,3,7,7,6,6,3,0
S01006544,Aberdeen City,615,,4,8,8,4,15,10,7,7,9,5,7,3,5,3,0,2,6,3,3,5,1,2,8,6,12,11,15,9,15,10,12,7,14,9,12,14,11,15,1,8,16,14,8,13,6,8,4,6,10,9,2,6,7,9,6,7,6,6,5,6,4,7,4,7,4,2,6,5,5,5,5,3,4,5,1,1,0,7,4,4,8,4,3,1,4,8,3,3,5,6,27
S01006545,Aberdeen City,540,,9,6,9,2,8,3,4,8,1,1,7,4,0,3,0,4,4,8,0,3,3,8,4,7,9,11,8,3,9,5,10,10,7,2,11,11,10,7,5,2,13,0,1,6,9,2,2,8,8,3,6,7,4,10,5,9,7,13,9,4,11,7,9,4,4,8,2,8,8,8,9,3,1,7,3,7,6,3,7,14,9,8,4,4,4,3,4,3,5,0,15
S01006546,Aberdeen City,321,,2,4,2,0,3,0,1,3,3,1,3,6,3,3,3,0,7,9,0,0,0,2,1,3,5,14,1,4,3,1,13,2,2,4,2,1,3,8,1,3,4,6,2,1,4,4,3,3,5,3,8,5,3,10,9,6,6,6,3,0,8,4,2,3,5,4,3,3,2,5,5,8,6,5,3,5,2,2,5,5,0,1,3,0,2,0,7,3,2,1,0
S01006547,Aberdeen City,606,,11,12,15,8,4,14,5,8,5,9,8,11,8,0,3,7,2,4,0,2,3,5,3,3,9,8,9,5,4,7,6,13,5,16,9,10,5,12,14,3,6,10,11,7,9,10,6,10,9,5,7,6,5,7,11,11,4,5,7,8,10,10,6,4,7,1,7,8,6,8,3,4,7,4,6,3,8,2,5,6,5,1,6,5,8,4,5,2,5,2,9
S01006548,Aberdeen City,359,,6,3,3,1,1,2,6,3,3,3,2,1,4,5,1,5,1,1,1,6,1,2,3,2,0,3,1,2,3,4,6,0,3,4,12,5,4,7,1,4,3,1,2,0,7,7,5,6,3,4,6,7,12,5,5,4,2,9,2,5,9,3,3,5,1,5,5,10,5,4,8,4,7,4,6,6,5,4,6,3,8,6,6,3,0,5,2,4,1,1,0
S01006549,Aberdeen City,408,,6,5,3,6,5,0,2,7,3,7,2,6,5,4,4,6,9,4,2,0,3,3,3,1,0,4,0,4,7,5,2,7,10,1,5,7,7,1,4,4,3,5,3,6,9,4,3,10,4,12,6,9,8,9,10,2,8,4,6,6,6,1,10,10,3,3,6,5,8,6,5,3,5,3,8,4,2,3,0,4,3,1,2,1,4,0,5,1,1,0,4
S01006550,Aberdeen City,478,,1,1,4,4,2,2,7,2,7,7,5,1,5,2,1,2,3,8,4,4,1,0,2,5,0,9,10,9,8,0,1,7,2,4,0,1,6,4,5,10,6,5,2,0,7,10,2,9,7,11,3,6,9,11,9,6,11,8,6,10,9,7,7,6,10,8,10,8,8,2,5,3,5,3,4,6,8,7,4,2,7,6,7,7,4,3,1,8,2,3,14
