"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,,,,MALES,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,,,,,,,MALES,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006540,,463,,5,5,7,5,6,4,5,4,2,2,0,4,5,4,4,2,2,3,4,6,4,3,4,6,5,5,10,10,5,8,3,6,9,6,7,13,10,9,8,4,10,6,2,5,6,5,7,12,7,4,8,9,10,6,7,9,3,6,9,11,6,6,3,11,7,4,2,3,6,1,4,2,3,4,4,1,2,2,2,3,2,4,3,4,5,2,5,1,2,0,3
S01006541,,371,,9,5,4,5,4,5,4,1,4,4,5,4,2,5,2,3,1,3,2,4,1,3,3,5,3,3,0,4,3,6,5,3,6,2,3,8,11,5,6,8,6,4,6,4,4,7,4,4,4,5,3,7,5,3,3,5,3,8,7,3,6,4,4,6,6,1,2,2,1,2,3,7,2,3,3,8,1,1,3,5,3,6,5,5,1,4,2,3,2,1,10
S01006542,,478,,3,6,5,3,2,2,4,3,3,7,6,5,2,1,6,3,8,3,2,5,0,0,7,2,6,4,1,2,2,7,5,10,5,4,8,7,7,8,8,8,2,8,6,10,8,4,9,5,5,5,6,7,7,7,9,4,15,8,3,9,10,7,4,12,3,10,7,1,3,3,4,8,5,1,10,4,6,4,9,7,6,7,8,3,6,3,3,2,2,0,3
S01006543,,371,,3,10,6,3,5,5,4,3,2,3,1,3,3,1,2,4,1,2,2,3,7,3,4,4,4,1,1,3,3,2,2,2,6,5,1,5,2,3,5,8,9,4,3,7,4,3,6,8,4,5,10,6,7,2,5,8,4,5,3,5,5,4,6,4,3,4,5,5,3,6,6,3,1,1,6,1,6,3,5,3,6,8,7,4,3,5,6,1,3,0,3
S01006544,,554,,7,6,4,3,1,4,7,3,5,4,3,1,0,3,7,1,3,3,4,4,8,3,3,12,10,11,8,6,20,9,8,14,9,15,8,11,10,8,8,11,6,8,14,5,7,6,8,13,13,11,9,12,6,10,13,11,7,2,6,8,10,6,10,9,3,5,4,4,2,6,1,4,3,1,4,3,5,1,1,4,0,6,4,2,2,3,3,1,1,4,2
S01006545,,521,,9,9,6,6,2,3,4,6,2,4,5,2,2,7,2,1,5,5,0,3,5,4,5,8,9,3,5,11,9,9,8,10,6,7,11,7,13,10,4,3,9,7,5,15,8,8,7,3,9,6,10,11,7,8,7,7,8,4,5,10,4,7,9,10,5,6,8,6,4,2,1,4,3,5,4,5,5,3,1,8,5,2,3,1,4,3,1,5,2,5,6
S01006546,,307,,5,5,0,3,3,0,3,1,5,4,1,3,4,4,3,4,1,10,3,0,3,6,4,5,0,3,0,2,3,3,1,4,2,4,1,5,2,2,7,1,3,2,3,11,4,7,9,4,1,7,2,8,8,7,4,5,4,2,3,7,8,4,6,7,6,3,1,5,8,4,2,2,1,2,5,3,3,2,2,0,1,2,1,1,0,1,1,1,0,1,3
S01006547,,421,,2,2,4,2,3,7,9,5,4,6,5,5,9,6,3,5,5,5,2,4,7,6,2,4,6,3,10,4,2,4,4,6,3,3,6,5,5,3,4,6,5,2,3,7,5,7,7,10,7,4,2,4,7,8,6,6,3,5,5,5,5,7,12,6,4,10,6,3,6,5,2,3,4,3,8,2,3,4,6,4,6,3,0,0,5,3,2,0,3,1,1
S01006548,,348,,6,5,3,3,2,2,1,4,4,3,3,1,6,5,5,6,5,4,3,1,4,5,1,2,5,2,0,4,2,2,11,2,3,1,3,3,3,2,2,3,4,5,1,5,8,7,6,6,10,2,2,3,9,5,2,4,6,1,4,2,10,7,2,5,6,4,7,4,5,2,6,5,5,2,5,5,6,3,3,7,7,1,2,4,1,1,2,2,0,3,2
S01006549,,400,,4,4,3,6,7,3,6,0,1,4,2,1,5,7,1,5,3,2,3,8,6,7,2,3,5,2,3,2,1,4,4,3,3,6,3,2,4,5,4,9,7,4,2,9,10,5,8,0,5,8,7,9,4,5,10,6,8,10,5,8,6,7,5,4,8,5,3,9,5,5,3,2,5,8,5,5,2,2,1,3,5,1,3,2,3,1,2,1,0,1,5
S01006550,,456,,9,1,6,0,3,5,3,5,3,4,1,2,4,4,4,8,4,7,4,6,2,6,2,7,0,5,3,0,9,3,4,5,2,2,2,4,3,3,6,3,6,3,6,4,6,7,6,7,9,4,9,9,2,7,12,6,16,9,8,3,1,12,7,6,11,5,4,5,2,5,3,8,5,7,4,8,6,5,6,8,6,8,2,4,5,2,5,0,4,3,6
S01006551,,341,,4,1,5,4,3,4,1,5,4,5,1,5,1,1,1,7,2,8,6,6,0,0,3,6,1,2,2,2,4,5,3,4,5,9,5,4,2,3,9,6,10,5,5,5,8,8,7,2,5,4,2,3,3,3,5,3,5,3,5,1,8,5,3,6,5,6,3,1,4,7,7,2,3,1,1,2,3,7,6,4,2,0,1,3,3,0,1,4,1,0,1
S01006552,,436,,7,5,2,9,6,0,2,3,2,3,2,5,3,3,5,8,7,1,2,2,8,4,8,8,5,8,8,5,9,7,8,16,11,8,10,5,2,5,12,10,0,4,2,10,9,4,8,5,2,5,6,7,7,8,8,3,10,6,3,6,9,4,9,3,10,4,5,3,6,2,2,5,3,1,3,0,6,4,4,0,0,1,2,0,1,1,1,0,0,0,0
