"Table 1c: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,,,,,,,Females,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90
S01006545,,544,,10,3,5,6,4,4,9,6,1,3,0,4,5,5,1,1,3,5,2,3,4,6,4,2,10,1,9,9,7,6,7,12,10,11,7,5,13,2,3,5,8,1,4,3,7,5,7,6,5,6,5,8,6,13,5,4,11,7,10,4,7,5,5,7,7,9,7,3,1,6,4,6,5,2,8,12,8,9,8,4,6,10,4,5,6,8,9,6,4,7,18
S01006546,,319,,2,2,0,3,2,2,5,5,3,3,3,1,6,9,2,5,1,3,2,2,4,10,0,1,2,1,2,3,0,3,4,1,0,6,5,2,3,5,2,2,5,5,4,1,7,2,9,6,3,8,7,6,8,8,3,2,6,3,3,3,5,4,4,4,2,6,4,8,4,5,3,5,3,3,5,7,1,1,4,2,2,0,7,2,5,2,0,1,1,0,3
S01006547,,493,,3,6,4,4,2,4,3,7,3,1,2,5,3,3,3,4,5,5,1,1,6,3,10,4,8,10,5,8,1,9,4,6,3,6,8,5,3,6,8,5,7,8,4,7,7,6,4,9,5,3,9,8,4,5,8,7,8,9,7,7,6,6,6,8,6,9,4,4,7,5,6,4,8,3,5,6,5,0,8,5,8,8,5,3,7,4,7,4,4,3,10
S01006548,,372,,3,0,5,3,6,3,2,2,4,4,0,4,1,0,2,5,2,6,3,3,2,3,3,1,4,2,1,3,2,2,8,9,7,3,1,4,3,4,1,1,6,4,4,6,2,6,6,7,11,5,5,5,3,9,2,6,7,2,3,5,0,5,4,10,5,5,9,4,6,6,6,6,5,4,6,4,10,8,7,6,0,6,5,5,2,4,1,1,4,1,1
S01006549,,411,,8,1,3,6,2,4,4,3,2,2,3,6,7,4,5,3,2,4,2,1,0,3,0,8,4,2,1,3,5,4,8,3,4,4,5,3,3,1,3,7,7,3,6,13,6,12,7,9,6,9,11,3,6,4,5,7,6,1,9,8,5,3,6,5,9,7,5,5,4,3,9,4,2,6,2,6,6,2,2,3,8,3,5,4,1,3,0,4,1,1,6
S01006550,,493,,2,2,7,1,5,7,6,3,5,4,1,3,3,6,3,3,6,4,5,4,0,9,7,5,4,0,0,3,1,6,1,4,5,6,2,7,7,5,2,0,5,9,2,9,8,8,4,6,11,13,9,7,14,9,4,9,8,5,7,7,8,8,10,8,9,4,4,6,5,3,4,5,8,9,4,4,7,9,8,5,7,6,2,8,4,7,5,4,0,1,13
S01006551,,335,,2,7,4,1,2,3,1,3,3,5,2,5,1,3,1,4,6,2,2,0,4,2,1,3,1,4,8,4,2,5,5,4,5,2,3,5,2,4,2,9,4,5,1,3,4,4,3,6,11,8,7,2,3,4,3,7,6,2,4,0,1,4,2,6,6,1,4,5,3,3,6,5,7,4,5,6,8,5,7,5,3,5,5,0,2,1,2,0,2,0,3
S01006552,,430,,7,1,4,6,6,2,4,4,2,3,3,1,4,2,3,5,0,5,3,4,1,5,2,4,4,7,2,9,3,7,5,14,5,7,5,3,10,5,4,6,7,4,1,5,5,5,6,8,5,6,7,9,10,4,10,10,5,7,9,7,10,6,3,9,5,8,4,9,4,3,6,6,5,4,8,1,5,2,2,1,5,3,3,1,1,1,4,0,0,1,3
S01006553,,476,,3,5,0,6,2,3,6,10,6,3,6,2,2,6,4,4,3,2,2,4,4,5,2,7,5,1,1,2,2,4,4,8,3,1,2,6,6,3,3,3,5,12,6,7,4,6,10,5,5,8,6,5,9,6,3,4,2,5,6,7,1,10,4,6,7,8,3,12,10,6,8,11,3,5,7,7,7,5,9,5,6,8,9,9,9,10,4,3,4,1,7
S01006554,,367,,5,6,1,0,5,4,2,3,2,1,2,3,5,1,3,2,1,1,2,4,2,4,4,6,8,8,6,5,5,8,12,8,6,6,7,1,3,4,4,5,8,3,2,5,6,0,1,3,3,5,5,3,5,5,4,9,6,4,2,4,3,5,1,4,5,6,5,3,4,3,4,2,5,7,3,3,1,5,5,3,3,4,5,5,4,3,6,1,0,3,8
