"Table 1b: Estimated population by sex, single year of age and 2011 Data Zone area: 30 June 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,,All Ages,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,,Males,,,,,,,,,,,,
,,,,AGE0,AGE1,AGE2,AGE3,AGE4,AGE5,AGE6,AGE7,AGE8,AGE9,AGE10,AGE11,AGE12,AGE13,AGE14,AGE15,AGE16,AGE17,AGE18,AGE19,AGE20,AGE21,AGE22,AGE23,AGE24,AGE25,AGE26,AGE27,AGE28,AGE29,AGE30,AGE31,AGE32,AGE33,AGE34,AGE35,AGE36,AGE37,AGE38,AGE39,AGE40,AGE41,AGE42,AGE43,AGE44,AGE45,AGE46,AGE47,AGE48,AGE49,AGE50,AGE51,AGE52,AGE53,AGE54,AGE55,AGE56,AGE57,AGE58,AGE59,AGE60,AGE61,AGE62,AGE63,AGE64,AGE65,AGE66,AGE67,AGE68,AGE69,AGE70,AGE71,AGE72,AGE73,AGE74,AGE75,AGE76,AGE77,AGE78,AGE79,AGE80,AGE81,AGE82,AGE83,AGE84,AGE85,AGE86,AGE87,AGE88,AGE89,AGE90+
S01006540,,485,,4,5,6,6,6,7,4,2,7,6,4,2,2,2,0,4,4,3,4,2,1,4,6,7,6,9,13,12,10,14,9,15,10,6,10,1,11,11,9,14,5,8,10,4,14,7,4,4,6,0,4,11,6,3,6,7,9,6,8,4,0,6,10,7,6,4,3,6,7,4,2,3,3,1,2,1,3,3,4,1,2,1,1,3,2,4,2,3,1,0,6
S01006541,,385,,9,4,6,4,6,6,4,4,3,5,4,0,3,5,4,4,1,4,1,0,2,1,0,1,3,2,4,6,5,3,1,8,0,10,8,4,7,1,5,13,13,4,8,8,6,2,5,4,3,7,5,2,5,5,1,6,5,3,2,5,2,10,7,1,6,5,5,6,5,3,2,2,1,3,3,8,1,2,1,6,2,1,3,5,3,5,5,2,1,4,15
S01006542,,487,,5,4,4,8,2,4,6,2,0,0,3,4,1,8,6,7,1,3,7,2,4,2,0,6,4,3,8,5,7,2,7,6,7,1,7,12,3,2,4,4,6,8,11,6,2,8,8,14,8,8,11,3,7,4,13,7,7,9,9,5,13,7,3,8,9,8,3,13,3,9,8,1,4,3,4,5,3,1,11,4,4,3,9,4,3,4,3,5,3,2,2
S01006543,,357,,4,3,3,3,4,11,7,2,3,3,6,3,2,1,1,3,2,2,2,3,3,1,1,4,9,5,3,3,2,2,1,6,2,4,3,4,5,3,2,8,4,1,4,7,11,4,1,7,5,4,6,5,4,4,9,7,8,4,5,9,3,4,1,6,5,4,5,4,2,4,5,4,3,7,5,3,1,1,6,1,6,2,6,2,4,3,4,2,1,3,2
S01006544,,590,,7,4,4,7,6,5,8,5,2,4,6,4,6,5,3,0,3,4,3,0,3,0,7,6,12,5,6,18,9,8,8,5,23,7,15,11,18,10,14,14,15,10,12,7,10,7,14,7,7,4,6,12,12,10,6,12,10,13,11,10,7,3,4,4,11,6,11,8,3,2,3,4,4,6,1,2,3,1,5,1,6,0,1,2,0,1,3,1,2,1,4
S01006545,,563,,8,9,8,7,2,7,5,4,2,0,6,7,2,3,5,3,2,7,4,0,8,5,3,6,11,7,9,13,12,4,4,16,10,6,7,16,10,7,9,7,15,7,4,2,7,9,2,17,10,7,12,4,10,9,13,10,6,7,8,8,8,4,5,8,4,6,10,9,5,8,8,5,3,2,0,6,4,5,4,4,5,3,1,5,3,1,2,0,1,1,5
S01006546,,307,,4,6,6,0,5,4,0,3,3,0,2,1,5,4,0,3,4,3,2,1,1,7,4,4,5,6,4,5,8,4,4,2,2,7,4,4,5,5,1,4,3,2,4,1,3,2,2,11,4,7,6,5,1,7,3,10,8,5,3,5,3,2,0,8,6,4,3,7,4,1,0,4,8,5,1,2,1,2,2,3,3,0,2,0,0,1,0,1,0,0,0
S01006547,,490,,9,11,12,5,6,4,7,3,2,5,6,6,5,6,4,6,7,10,4,5,3,3,3,5,10,10,6,5,10,8,11,5,9,0,4,8,6,6,6,7,4,3,7,6,8,4,7,10,6,9,9,12,4,6,2,3,7,9,6,5,4,5,3,3,3,7,13,5,3,9,5,3,5,2,2,3,3,2,6,0,1,2,5,3,6,3,2,0,5,1,1
S01006548,,324,,2,7,4,2,5,3,4,1,2,2,2,4,4,0,2,2,5,4,5,3,5,0,3,1,6,2,3,1,7,2,1,2,0,0,11,4,3,2,1,4,3,4,1,4,6,3,1,5,6,7,5,5,11,1,3,4,8,4,3,4,5,1,4,1,9,6,4,5,7,4,6,6,4,2,4,4,5,2,5,5,2,3,3,5,5,1,1,3,1,0,2
S01006549,,397,,2,2,6,4,7,3,4,4,9,4,4,1,0,4,0,0,8,6,2,5,1,0,2,9,6,9,3,5,3,3,1,4,0,4,4,4,5,9,5,1,3,3,3,10,10,5,0,11,8,8,7,3,3,9,6,9,5,7,11,8,5,10,5,9,4,6,4,3,8,3,3,7,5,4,3,2,5,5,2,4,1,0,0,1,3,1,3,1,3,1,4
